Miền,Khu vực,Tỉnh,Mã C1,Tên C1,Mã NVTT,Tên NVTT,Mã Tuyến,Tên Tuyến,Mã KH,Tên KH,Số nhà,Đường,Phường/xã,Quận/huyện,Tỉnh/thành phố,SĐT,Số đơn hàng,Số đơn gốc,Loại đơn hàng,Đơn hàng tạo từ,Ngày đặt hàng,Ngày giao hàng,Mã kho,Tên kho,Mã SP,Tên Sản phẩm,Đơn giá,Quy cách,Số lượng (tấn),Số lượng (bao),Thành tiền (VND),Chương trình,Loại KM,Số tiền chiết khấu,SL khuyến mãi (tấn),SL khuyến mãi (bao),Trạng Thái,Ngày thực tế kế toán tạo đơn,Thời gian gửi SMS,Mã CTTL,Điểm
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,2301461,Công ty TNHH Việt Mỹ,,"Lô số 8, KCN Nghi Phú, TP Vinh, Nghệ An",Xã Nghi Phú,TP. Vinh,Tỉnh Nghệ An,0913045279,E0021868511012,E0021868511012,Đơn bán,Tablet,05/12/2023,,,,TP00000001,Đạm Phú Mỹ,1,20,500,10000,5075000000,,,0,,,Chưa duyệt,05/12/2023,,,
Công ty Miền Trung,Khu vực Miền Trung,TP. Đà Nẵng,C1VTNNIIDNA,Công ty CP VTNN II Đà Nẵng,HVCUONG,Hoàng Văn Cương,QUANGTRI_QUANGNAM_HVC,QuangTri_QuangNam,2200020,Truong Phước,,,Xã Triệu Phước,Huyện Triệu Phong,Tỉnh Quảng Trị,0986077967,IN000001,E8162206232678,Đơn bán,Tablet,11/12/2023,,KHO_VTNNIIDANANG,Kho VTNN II Đà Nẵng,TP00000001,Đạm Phú Mỹ,1,20,15,300,1575000000,,,0,,,Đã duyệt,11/12/2023,,,
Công ty Miền Trung,Khu vực Miền Trung,TP. Đà Nẵng,C1VTNNIIDNA,Công ty CP VTNN II Đà Nẵng,HVCUONG,Hoàng Văn Cương,QUANGTRI_QUANGNAM_HVC,QuangTri_QuangNam,220019A,CH PB Thủy Ánh,,,Xã Tam Dân,Huyện Phú Ninh,Tỉnh Quảng Nam,0909535505,E3550237348689,E3550237348689,Đơn bán,Tablet,11/12/2023,,,,TP00000001,Đạm Phú Mỹ,1,20,12,240,122400000,,,0,,,Chưa duyệt,11/12/2023,,,
Công ty Miền Trung,Khu vực Miền Trung,TP. Đà Nẵng,C1VTNNIIDNA,Công ty CP VTNN II Đà Nẵng,HVCUONG,Hoàng Văn Cương,QUANGTRI_QUANGNAM_HVC,QuangTri_QuangNam,22001A4,CH PB 579,,,Thị trấn Hà Lam,Huyện Thăng Bình,Tỉnh Quảng Nam,,E3551239909564,E3551239909564,Đơn bán,Tablet,11/12/2023,,,,TP00000001,Đạm Phú Mỹ,1,20,6,120,62400000,,,0,,,Chưa duyệt,11/12/2023,,,
Công ty Miền Trung,Khu vực Miền Trung,TP. Đà Nẵng,C1VTNNIIDNA,Công ty CP VTNN II Đà Nẵng,HVCUONG,Hoàng Văn Cương,QUANGTRI_QUANGNAM_HVC,QuangTri_QuangNam,22001A5,CH PB Duyên Hoa,,,Thị trấn Hà Lam,Huyện Thăng Bình,Tỉnh Quảng Nam,,IN000002,E3551311027387,Đơn bán,Tablet,11/12/2023,,KHO_VTNNIIDANANG,Kho VTNN II Đà Nẵng,TP00000001,Đạm Phú Mỹ,1,20,20,400,2080000000,,,0,,,Đã duyệt,11/12/2023,,,
Công ty Miền Trung,Khu vực Miền Trung,TP. Đà Nẵng,C1VTNNIIDNA,Công ty CP VTNN II Đà Nẵng,HVCUONG,Hoàng Văn Cương,QUANGTRI_QUANGNAM_HVC,QuangTri_QuangNam,22001AC,CH PB Huệ Tâm,,,Xã Đại Cường,Huyện Đại Lộc,Tỉnh Quảng Nam,0905169434,IN000004,E3552016718786,Đơn bán,Tablet,11/12/2023,,KHO_VTNNIIDANANG,Kho VTNN II Đà Nẵng,TP00000001,Đạm Phú Mỹ,1,20,20,400,208000000,,,0,,,Đã duyệt,11/12/2023,,,
Công ty Miền Trung,Khu vực Miền Trung,TP. Đà Nẵng,C1VTNNIIDNA,Công ty CP VTNN II Đà Nẵng,HVCUONG,Hoàng Văn Cương,QUANGTRI_QUANGNAM_HVC,QuangTri_QuangNam,22001AD,CH PB Tường Lục,,,Xã Đại Tân,Huyện Đại Lộc,Tỉnh Quảng Nam,0935994229,IN000003,E3552114422783,Đơn bán,Tablet,11/12/2023,,KHO_VTNNIIDANANG,Kho VTNN II Đà Nẵng,TP00000001,Đạm Phú Mỹ,1,20,25,500,260000000,,,0,,,Đã duyệt,11/12/2023,,,
Công ty Miền Trung,Khu vực Miền Trung,TP. Đà Nẵng,C1VTNNIIDNA,Công ty CP VTNN II Đà Nẵng,HVCUONG,Hoàng Văn Cương,QUANGTRI_QUANGNAM_HVC,QuangTri_QuangNam,22001AD,CH PB Tường Lục,,,Xã Đại Tân,Huyện Đại Lộc,Tỉnh Quảng Nam,0935994229,IN000003,E3552114422783,Đơn bán,Tablet,11/12/2023,,KHO_VTNNIIDANANG,Kho VTNN II Đà Nẵng,TP00000443,NPK PM 16-16-8+13S+TE- bao 50 kg,1,20,25,500,310000000,,,0,,,Đã duyệt,11/12/2023,,,
Công ty Miền Trung,Khu vực Miền Trung,TP. Đà Nẵng,C1VTNNIIDNA,Công ty CP VTNN II Đà Nẵng,HVCUONG,Hoàng Văn Cương,QUANGTRI_QUANGNAM_HVC,QuangTri_QuangNam,22001C2,CH PB Thu Nga,,,Xã Bình Quý,Huyện Thăng Bình,Tỉnh Quảng Nam,0945357962,E3554235141000,E3554235141000,Đơn bán,Tablet,11/12/2023,,,,TP00000001,Đạm Phú Mỹ,1,20,20,400,206000000,,,0,,,Chưa duyệt,11/12/2023,,,
Công ty Miền Trung,Khu vực Miền Trung,TP. Đà Nẵng,C1VTNNIIDNA,Công ty CP VTNN II Đà Nẵng,HVCUONG,Hoàng Văn Cương,QUANGTRI_QUANGNAM_HVC,QuangTri_QuangNam,22001C2,CH PB Thu Nga,,,Xã Bình Quý,Huyện Thăng Bình,Tỉnh Quảng Nam,0945357962,E3554235141000,E3554235141000,Đơn bán,Tablet,11/12/2023,,,,TP00000443,NPK PM 16-16-8+13S+TE- bao 50 kg,1,20,5,100,62500000,,,0,,,Chưa duyệt,11/12/2023,,,
