Mã C1,Mã NVTT,Mã Tuyến,Mã KH,Số đơn hàng,Số đơn gốc,Loại đơn hàng,Đơn hàng tạo từ,Ngày đặt hàng,Ngày giao hàng,Mã kho,Mã SP,Đơn giá,Số lượng (tấn),Số lượng (bao),Thành tiền (VND),Chương trình,Loại KM,Số tiền chiết khấu,SL khuyến mãi (tấn),SL khuyến mãi (bao),Trạng Thái,Ngày thực tế kế toán tạo đơn,Thời gian gửi SMS,Mã CTTL,Điểm
CTMB,NCDOAN,002,230145C,E0021316945389,E0021316945389,Đơn bán,Tablet,16/12/2023,,,TP00000001,1,10,200,105000000,,,0,,,Chưa duyệt,16/12/2023,,,
CTMB,NCDOAN,002,230145C,E0021316945389,E0021316945389,Đơn bán,Tablet,16/12/2023,,,TP00000444,1,15,600,190500000,,,0,,,Chưa duyệt,16/12/2023,,,
CTMB,NCDOAN,002,2301461,E0021887716299,E0021887716299,Đơn bán,Tablet,20/12/2023,,,TP00000001,1,1000,20000,9950000000,,,0,,,Chưa duyệt,20/12/2023,,,
CTMB,NCDOAN,002,2301461,E0021887716299,E0021887716299,Đơn bán,Tablet,20/12/2023,,,TP00000444,1,100,4000,1400000000,,,0,,,Chưa duyệt,20/12/2023,,,
CTMB,NCDOAN,002,2301461,E0021887716299,E0021887716299,Đơn bán,Tablet,20/12/2023,,,TP00000448,1,50,1000,650000000,,,0,,,Chưa duyệt,20/12/2023,,,
CTMB,NCDOAN,002,2301461,E0021887716299,E0021887716299,Đơn bán,Tablet,20/12/2023,,,TP00000600,1,50,1000,650000000,,,0,,,Chưa duyệt,20/12/2023,,,
CTMB,NCDOAN,002,2301468,E0022584123895,E0022584123895,Đơn bán,Tablet,19/12/2023,,,TP00000001,1,20,400,204000000,,,0,,,Chưa duyệt,19/12/2023,,,
CTMB,NCDOAN,002,2301468,E0022584123895,E0022584123895,Đơn bán,Tablet,19/12/2023,,,TP00000444,1,50,2000,635000000,,,0,,,Chưa duyệt,19/12/2023,,,
CTMB,NCDOAN,002,2301468,E0022584123895,E0022584123895,Đơn bán,Tablet,19/12/2023,,,TP00000606,1,50,1000,570000000,,,0,,,Chưa duyệt,19/12/2023,,,
CTMB,NCDOAN,002,230146A,E0022702907788,E0022702907788,Đơn bán,Tablet,15/12/2023,,,TP00000001,1,20,400,210000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146A,E0022702907788,E0022702907788,Đơn bán,Tablet,15/12/2023,,,TP00000600,1,30,600,360000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146A,E0022702907788,E0022702907788,Đơn bán,Tablet,15/12/2023,,,TP00000606,1,10,200,120000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146A,E0022702907788,E0022702907788,Đơn bán,Tablet,15/12/2023,,,TP00000665,1,50,1000,575000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146B,E0022849147403,E0022849147403,Đơn bán,Tablet,15/12/2023,,,TP00000001,1,20,400,210000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146B,E0022849147403,E0022849147403,Đơn bán,Tablet,15/12/2023,,,TP00000600,1,30,600,360000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146C,E0022996645258,E0022996645258,Đơn bán,Tablet,15/12/2023,,,TP00000001,1,20,400,210000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146C,E0022996645258,E0022996645258,Đơn bán,Tablet,15/12/2023,,,TP00000444,1,10,400,127000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146C,E0022996645258,E0022996645258,Đơn bán,Tablet,15/12/2023,,,TP00000606,1,20,400,240000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146E,E0023138072226,E0023138072226,Đơn bán,Tablet,15/12/2023,,,TP00000001,1,25,500,262500000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146E,E0023138072226,E0023138072226,Đơn bán,Tablet,15/12/2023,,,TP00000444,1,10,400,127000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146E,E0023138072226,E0023138072226,Đơn bán,Tablet,15/12/2023,,,TP00000606,1,20,400,240000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230146E,E0023171862710,E0023171862710,Đơn bán,Tablet,19/12/2023,,,TP00000001,1,50,1000,510000000,,,0,,,Chưa duyệt,19/12/2023,,,
CTMB,NCDOAN,002,2301470,E0023332226331,E0023332226331,Đơn bán,Tablet,15/12/2023,,,TP00000001,1,30,600,315000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,2301470,E0023332226331,E0023332226331,Đơn bán,Tablet,15/12/2023,,,TP00000600,1,15,300,180000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,2301470,E0023332226331,E0023332226331,Đơn bán,Tablet,15/12/2023,,,TP00000606,1,10,200,120000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,2301470,E0023332226331,E0023332226331,Đơn bán,Tablet,15/12/2023,,,TP00000665,1,10,200,115000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,2301471,E0023457971219,E0023457971219,Đơn bán,Tablet,15/12/2023,,,TP00000001,1,20,400,210000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,2301471,E0023457971219,E0023457971219,Đơn bán,Tablet,15/12/2023,,,TP00000600,1,20,400,240000000,,,0,,,Chưa duyệt,15/12/2023,,,
CTMB,NCDOAN,002,230147B,E0024420882333,E0024420882333,Đơn bán,Tablet,18/12/2023,,,TP00000001,1,2,40,22000000,,,0,,,Chưa duyệt,18/12/2023,,,
CTMB,NCDOAN,002,230147B,E0024420882333,E0024420882333,Đơn bán,Tablet,18/12/2023,,,TP00000444,1,1,40,13000000,,,0,,,Chưa duyệt,18/12/2023,,,
CTMB,NCDOAN,002,2301485,E0025413631498,E0025413631498,Đơn bán,Tablet,19/12/2023,,,TP00000001,1,20,400,204000000,,,0,,,Chưa duyệt,19/12/2023,,,
CTMB,NCDOAN,002,2301485,E0025413631498,E0025413631498,Đơn bán,Tablet,19/12/2023,,,TP00000444,1,10,400,127000000,,,0,,,Chưa duyệt,19/12/2023,,,
CTMB,NCDOAN,002,2301485,E0025413631498,E0025413631498,Đơn bán,Tablet,19/12/2023,,,TP00000606,1,15,300,171000000,,,0,,,Chưa duyệt,19/12/2023,,,
