STT,Thông tin sản phẩm,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Thuộc tính động,Unnamed: 20
,Mã SP,Tên viết tắt,Trạng thái,Đơn vị tính lẻ,Đơn vị tính chẵn,Quy cách,Ngành hàng,Tên ngành hàng,Ngành hàng con,Tên ngành hàng con,Loại bao bì,Tên bao bì,Số thứ tự,Khối lượng tịnh (kg),Tổng khối lượng (kg),Mã vạch (Barcode),Hạn sử dụng,Hạn sử dụng (ĐVT),Mã số phân bón,Tự doanh
0.0,TP00000001,Đạm Phú Mỹ,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_URE,Ure,BAO50,Bao 50kg,1,50,50,,3,Năm,,
0.0,TP00000665,Đạm Phú Mỹ+KeBo 50 kg,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_URE,Ure,BAO50,Bao 50kg,2,50,50,,,,,
0.0,TP00000504,NPK PM 16-16-16+TE Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_111,NPK 111,BAO50,Bao 50kg,4,,,,,,,
0.0,TP00000449,NPK PM 16-16-8+9S+TE Bao 50 kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,5,,,,,,,
0.0,TP00000446,NPK PM 16-16-8+10S+TE Bao 50 kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,6,,,,,,,
0.0,TP00000443,NPK PM 16-16-8+13S+TE- bao 50 kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,7,,,,,,,
0.0,TP00000445,NPK PM 16-16-8+10S+TE - Rời loại 1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,,,8,,,,,,,
0.0,TP00000447,NPK PM 16-16-8+10S+TE - Bao 25 kg,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_212,NPK 212,BAO25,Bao 25kg,9,,,,,,,
0.0,TP00000451,NPK PM 16-16-8+5S+TE - Rời loại 1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,,,10,,,,,,,
0.0,TP00000444,NPK PM 16-16-8+13S+TE - bao 25 kg,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_221,NPK 221,BAO25,Bao 25kg,12,,,,,,,
0.0,TP00000448,NPK PM 16-16-8+9S+TE - Rời loại 1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,,,13,,,,,,,
0.0,TP00000452,NPK PM 16-16-8+5S+TE - Bao 50 kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,14,,,,,,,
0.0,TP00000453,NPK PM 16-16-8+5S+TE - Bao 25 kg,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_221,NPK 221,BAO25,Bao 25kg,15,,,,,,,
0.0,PB00000399,NPK PM 16-16-8+13S,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,,,17,,,,,,,
0.0,PB00000433,NPK PM 16-16-8+13S+TE - NM 50kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,18,,,,,,,
0.0,PB00000460,NPK PM 16-16-8+10S+TE - NM 50kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,20,,,,,,,
0.0,PB00000480,HC RealStrong 40kg,Hoạt động,Bao,Tấn,25,HC,Hữu cơ,HC,Hữu cơ thường,,,22,40,40,,,,,
0.0,PB00000333,NPK PM 16-16-8+5S+TE - bao 50kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,23,,,,,,,
0.0,PB00000506,HC Autus,Hoạt động,Bao,Tấn,20,HC,Hữu cơ,HC,Hữu cơ thường,,,24,50,50,,,,,
0.0,TP00000618,NPK PM 15-5-20+TE Bao 50kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,26,,,,,,,
0.0,TP00000606,NPK PM 16-8-8+TE- Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_211,NPK 211,BAO50,Bao 50kg,28,,,,,,,
0.0,TP00000600,NPK PM 20-7-7+TE- Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_211,NPK 211,BAO50,Bao 50kg,29,,,,,,,
0.0,TP00000587,NPK PM 16-6-19+TE Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,30,,,,,,,
0.0,TP00000581,NPK PM 17-17-8+13S+TE Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,31,,,,,,,
0.0,TP00000563,NPK PM 16-8-17+TE Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,33,,,,,,,
0.0,TP00000557,NPK PM 16-7-17+TE Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,34,,,,,,,
0.0,TP00000551,NPK PM 17-7-17+TE Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,35,,,,,,,
0.0,TP00000545,NPK PM 17-15-9+10S+TE Bao 50 kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,36,,,,,,,
0.0,TP00000539,NPK PM 17-17-8+10S+TE Bao 50 kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,37,,,,,,,
0.0,TP00000522,NPK PM 15-15-15+TE Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_111,NPK 111,BAO50,Bao 50kg,38,,,,,,,
0.0,TP00000516,NPK PM 17-15-9+13S+TEBao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,39,,,,,,,
0.0,TP00000466,NPK PM 20-5-5+TE Bao 25kg,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_211,NPK 211,BAO25,Bao 25kg,40,,,,,,,
0.0,TP00000465,NPK PM 20-5-5+TE Bao 50kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_211,NPK 211,BAO50,Bao 50kg,41,,,,,,,
0.0,TP00000457,NPK PM 20-20-15+TE Bao 50 kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_111,NPK 111,BAO50,Bao 50kg,42,,,,,,,
0.0,TP00000440,NPK PM 16-8-16+TE Bao 50 kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,43,,,,,,,
0.0,PB00000597,Phân SA Nhật Bản Hạt,Hoạt động,Bao,Tấn,20,HONHOP,Phân hỗn hợp,HH_SA,SA,,,45,,,,,,,
0.0,PB00000596,Phân SA Nhật Bản TP+,Hoạt động,Bao,Tấn,20,HONHOP,Phân hỗn hợp,HH_SA,SA,,,46,,,,,,,
0.0,PB00000548,Kali Miểng đỏ Israel,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_KALI,Kali,,,47,,,,,,,
0.0,PB00000539,Kali miểng - Belarus,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_KALI,Kali,,,50,,,,,,,
0.0,PB00000512,Kali bột bao 50kg/bao,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_KALI,Kali,BAO50,Bao 50kg,51,,,,,,,
0.0,PB00000510,SA Nhật Minh Tân,Hoạt động,Bao,Tấn,20,HONHOP,Phân hỗn hợp,HH_SA,SA,,,52,,,,,,,
0.0,PB00000492,NPK PM 22-5-7+13S,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_211,NPK 211,,,53,,,,,,,
0.0,PB00000414,NPK PM 19-9-19 bao 50kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,54,,,,,,,
0.0,PB00000395,SA Phú Mỹ bao 50 kg,Hoạt động,Bao,Tấn,20,HONHOP,Phân hỗn hợp,HH_SA,SA,BAO50,Bao 50kg,55,,,,,,,
0.0,PB00000283,SA Nhật bao,Hoạt động,Bao,Tấn,20,HONHOP,Phân hỗn hợp,HH_SA,SA,,,56,,,,,,,
0.0,PB00000246,NPK PM 27-6-6+2.6S bao PVFCCo,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_211,NPK 211,,,57,,,,,,,
0.0,PB00000221,Kali miểng Phú Mỹ bao PVFCCo,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_KALI,Kali,,,58,,,,,,,
0.0,PB00000220,Kali bột Phú Mỹ bao PVFCCo,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_KALI,Kali,,,59,,,,,,,
0.0,PB00000145,DAP hạt xanh Trung Quốc 16-44-0 bao,Hoạt động,Bao,Tấn,20,HONHOP,Phân hỗn hợp,HH_DAP,DAP,,,60,,,,,,,
0.0,PB00000104,SA hạt trung Nhật bao PVFCCo,Hoạt động,Bao,Tấn,20,HONHOP,Phân hỗn hợp,HH_SA,SA,,,61,,,,,,,
0.0,PB00000085,Kali Nga Bao,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_KALI,Kali,,,63,,,,,,,
0.0,PB00000040,Phân lân Văn Điển bao,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_LAN,Phân lân,,,64,,,,,,,
0.0,PB00000037,DAP đen Hàn Quốc bao,Hoạt động,Bao,Tấn,20,HONHOP,Phân hỗn hợp,HH_DAP,DAP,,,65,,,,,,,
0.0,PB00000021,SA hạt trung Hàn Quốc bao,Hoạt động,Bao,Tấn,20,HONHOP,Phân hỗn hợp,HH_SA,SA,,,66,,,,,,,
0.0,PB00000018,"Kali bột bao 50kg, vỏ bao khách hàng",Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_KALI,Kali,BAO50,Bao 50kg,68,,,,,,,
0.0,PB00000016,Kali bột Israel bao,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_KALI,Kali,,,69,,,,,,,
0.0,TP00000002,Ure Đạm Phú Mỹ loại 2 - bao,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_URE,Ure,BAO50,Bao 50kg,70,50,50,,,,,
0.0,TP00000199,Ure loại 1 có màu vàng nhạt - Bao,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_URE,Ure,,,72,,,,,,,
0.0,TP00000155,Ure Đạm Phú Mỹ loại 1 - Bao 25Kg,Hoạt động,Bao,Tấn,40,DON,Phân đơn,D_URE,Ure,BAO25,Bao 25kg,73,,,,,,,
0.0,TP00000433,Ure Đạm Phú Mỹ loại 2 - bao Jumbo 1 Tấn,Hoạt động,Bao,Tấn,1,DON,Phân đơn,D_URE,Ure,ZUMBO1000,Bao Zumbo 1 tấn,74,,,,,,,
0.0,PB00000129,Kali Belarus bột - hàng xá,Hoạt động,kg,Tấn,1000,DON,Phân đơn,D_KALI,Kali,HANGXA,Hàng xá,78,,,,,,,
0.0,PB00000154,Urea Phú Mỹ - bao Sunrise - Phillipines,Hoạt động,Bao,Tấn,20,DON,Phân đơn,D_URE,Ure,,,79,,,,,,,
0.0,PB00000218,Kali bột Nga - hàng xá,Hoạt động,kg,Tấn,1000,DON,Phân đơn,D_KALI,Kali,HANGXA,Hàng xá,80,,,,,,,
0.0,PB00000219,Kali miểng Nga - hàng xá,Hoạt động,kg,Tấn,1000,DON,Phân đơn,D_KALI,Kali,HANGXA,Hàng xá,81,,,,,,,
