STT,Mã đơn vị ,Tên đơn vị ,Tên viết tắt,Loại đơn vị,Tên đơn vị cha,Trạng thái
1,PVFCCO,Phân Bón Phú Mỹ,PVFCCoAdmin,DAMPHUMY,,Hoạt động
2,ANGIANG,Tỉnh An Giang,An Giang,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
3,BACGIANG,Tỉnh Bắc Giang,Bắc Giang,TỈNH,Khu vực Miền Bắc,Hoạt động
4,BENTRE,Tỉnh Bến Tre,Bến Tre,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
5,BINHDINH,Tỉnh Bình Định,Bình Định,TỈNH,Khu vực Miền Trung,Hoạt động
6,BINHPHUOC,Tỉnh Bình Phước,Tỉnh Bình Phước,TỈNH,Khu vực Đông Nam Bộ,Hoạt động
7,BINHTHUAN,Tỉnh Bình Thuận,Tỉnh Bình Thuận,TỈNH,Khu vực Đông Nam Bộ,Hoạt động
8,C1ANHTHI,Công ty TNHH TMDV Anh Thi,Anh Thi,C1,Tỉnh Kon Tum,Hoạt động
9,C1ANTHAI,"Công ty TNHH Vật tư Nông nghiệp, Xây dựng Anh Thái",ATHN,C1,Thành phố Hà Nội,Hoạt động
10,C1BACGIANG,Công ty Cổ phần Sản xuất và Thương mại Tân Nông,TNBG,C1,Tỉnh Bắc Giang,Hoạt động
11,C1BACHATINH,Công ty TNHH Vật tư Tổng hợp Bắc Hà Tĩnh,BACHT,C1,Tỉnh Hà Tĩnh,Hoạt động
12,C1BANGTUYEN,Công ty TNHH Bằng Tuyên,BTNB,C1,Tỉnh Ninh Bình,Hoạt động
13,C1BINHHUONG,CÔNG TY TNHH TM&DV BÌNH HƯƠNG,Bình Hương,C1,Tỉnh Ninh Thuận,Hoạt động
14,C1BINHTHUAN,CÔNG TY CP DVNN BÌNH THUẬN,Bình Thuận,C1,Tỉnh Bình Thuận,Hoạt động
15,C1CUONGLIEN,Công ty TNHH VTNN Cường Liên,CLND,C1,Tỉnh Thái Bình,Hoạt động
16,C1DANGKHOI,Công ty TNHH Đăng Khôi,Cty Đăng Khôi,C1,Tỉnh Khánh Hòa,Hoạt động
17,C1DANNAM,Công ty TNHH MTV Nông nghiệp Dân Nam,Dân Nam,C1,Tỉnh Vĩnh Long,Hoạt động
18,C1DAPTHANH,Công ty TNHH Đáp Thành,DTNB,C1,Tỉnh Ninh Bình,Hoạt động
19,C1DNB,C1 Đông Nam Bộ,C1 Đông Nam Bộ,C1,Tỉnh Bình Phước,Hoạt động
20,C1DONGHUE,Công ty TNHH Dịch vụ Thương mại Nông nghiệp Đông Huê,Đông Huê,C1,Tỉnh Tiền Giang,Hoạt động
21,C1DUCTHANH,CÔNG TY TNHH TM - DV SX XNK ĐỨC THÀNH,Đức Thành,C1,Tỉnh Tây Ninh,Hoạt động
22,C1DUCTRUNG,Công ty TNHH Dịch vụ Nông nghiệp Đức Trung,Đức Trung,C1,Tỉnh Khánh Hòa,Hoạt động
23,C1DUCXINH,Công ty TNHH DVTM Đức Xinh,Đức Xinh,C1,Tỉnh Quảng Trị,Hoạt động
24,C1HOANAM,CÔNG TY CỔ PHẦN HOA NAM,Hoa Nam,C1,Tỉnh Long An,Hoạt động
25,C1HOANGDUNG,CÔNG TY TNHH SX - TM HOÀNG DŨNG,Hoàng Dũng,C1,Tỉnh Tây Ninh,Hoạt động
26,C1HOANGNHAN,Công ty TNHH TMDV TH Hoàng Nhân,Hoàng Nhân,C1,Tỉnh Bình Định,Hoạt động
27,C1HOANTHIEN,CÔNG TY TNHH TM - SX  HOÀN THIỆN,Hoàn Thiện,C1,Tỉnh Bình Thuận,Hoạt động
28,C1HONGCAM,Công ty TNHH TM Hồng Cẩm,Công ty Hồng Cẩm,C1,Tỉnh Phú Yên,Hoạt động
29,C1HUNGTHANH,Công ty TNHH VTNN Hưng Thạnh,Cty Hưng Thạnh,C1,Tỉnh Sóc Trăng,Hoạt động
