Miền,Khu vực,Tỉnh,Mã C1,Tên C1,Mã NVTT,Tên NVTT,Mã Tuyến,Tên Tuyến,Mã KH,Tên KH,Số nhà,Đường,Phường/xã,Quận/huyện,Tỉnh/thành phố,SĐT,Số đơn hàng,Số đơn gốc,Loại đơn hàng,Đơn hàng tạo từ,Ngày đặt hàng,Ngày giao hàng,Mã kho,Tên kho,Mã SP,Tên Sản phẩm,Đơn giá,Quy cách,Số lượng (tấn),Số lượng (bao),Thành tiền (VND),Chương trình,Loại KM,Số tiền chiết khấu,SL khuyến mãi (tấn),SL khuyến mãi (bao),Trạng Thái,Ngày thực tế kế toán tạo đơn,Thời gian gửi SMS,Mã CTTL,Điểm
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230145C,Chung Đại,,"khối Bắc Thung, TT Nam Đàn",Thị trấn Nam Đàn,Huyện Nam Đàn,Tỉnh Nghệ An,0979733567,E0021316945389,E0021316945389,Đơn bán,Tablet,16/12/2023,,,,TP00000001,Đạm Phú Mỹ,1,20,10,200,105000000,,,0,,,Chưa duyệt,16/12/2023,,,
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230145C,Chung Đại,,"khối Bắc Thung, TT Nam Đàn",Thị trấn Nam Đàn,Huyện Nam Đàn,Tỉnh Nghệ An,0979733567,E0021316945389,E0021316945389,Đơn bán,Tablet,16/12/2023,,,,TP00000444,NPK PM 16-16-8+13S+TE - bao 25 kg,1,40,15,600,190500000,,,0,,,Chưa duyệt,16/12/2023,,,
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230146A,Cửa hàng Lan Vợi,,"Xã Yên Sơn, huyện Đô Lương, Nghệ An",Xã Yên Sơn,Huyện Đô Lương,Tỉnh Nghệ An,0978338767,E0022702907788,E0022702907788,Đơn bán,Tablet,15/12/2023,,,,TP00000001,Đạm Phú Mỹ,1,20,20,400,210000000,,,0,,,Chưa duyệt,15/12/2023,,,
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230146A,Cửa hàng Lan Vợi,,"Xã Yên Sơn, huyện Đô Lương, Nghệ An",Xã Yên Sơn,Huyện Đô Lương,Tỉnh Nghệ An,0978338767,E0022702907788,E0022702907788,Đơn bán,Tablet,15/12/2023,,,,TP00000600,NPK PM 20-7-7+TE- Bao 50 kg L1,1,20,30,600,360000000,,,0,,,Chưa duyệt,15/12/2023,,,
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230146A,Cửa hàng Lan Vợi,,"Xã Yên Sơn, huyện Đô Lương, Nghệ An",Xã Yên Sơn,Huyện Đô Lương,Tỉnh Nghệ An,0978338767,E0022702907788,E0022702907788,Đơn bán,Tablet,15/12/2023,,,,TP00000606,NPK PM 16-8-8+TE- Bao 50 kg L1,1,20,10,200,120000000,,,0,,,Chưa duyệt,15/12/2023,,,
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230146A,Cửa hàng Lan Vợi,,"Xã Yên Sơn, huyện Đô Lương, Nghệ An",Xã Yên Sơn,Huyện Đô Lương,Tỉnh Nghệ An,0978338767,E0022702907788,E0022702907788,Đơn bán,Tablet,15/12/2023,,,,TP00000665,Đạm Phú Mỹ+KeBo 50 kg,1,20,50,1000,575000000,,,0,,,Chưa duyệt,15/12/2023,,,
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230146B,Cửa hàng Mạnh Hoà,,"TT Dùng, huyện Thanh Chương, Nghệ An",Thị trấn Thanh Chương,Huyện Thanh Chương,Tỉnh Nghệ An,0835015855,E0022849147403,E0022849147403,Đơn bán,Tablet,15/12/2023,,,,TP00000001,Đạm Phú Mỹ,1,20,20,400,210000000,,,0,,,Chưa duyệt,15/12/2023,,,
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230146B,Cửa hàng Mạnh Hoà,,"TT Dùng, huyện Thanh Chương, Nghệ An",Thị trấn Thanh Chương,Huyện Thanh Chương,Tỉnh Nghệ An,0835015855,E0022849147403,E0022849147403,Đơn bán,Tablet,15/12/2023,,,,TP00000600,NPK PM 20-7-7+TE- Bao 50 kg L1,1,20,30,600,360000000,,,0,,,Chưa duyệt,15/12/2023,,,
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230146C,Cửa Hàng Sáu Hoàng,,"TT Dùng, huyện Thanh Chương, Nghệ An",Xã Đồng Văn,Huyện Thanh Chương,Tỉnh Nghệ An,0976256695,E0022996645258,E0022996645258,Đơn bán,Tablet,15/12/2023,,,,TP00000001,Đạm Phú Mỹ,1,20,20,400,210000000,,,0,,,Chưa duyệt,15/12/2023,,,
Công ty Miền Bắc,Khu vực Miền Bắc,Thành phố Hà Nội,CTMB,C1 Công ty MB,NCDOAN,Nguyễn Công Đoàn,002,BTB,230146C,Cửa Hàng Sáu Hoàng,,"TT Dùng, huyện Thanh Chương, Nghệ An",Xã Đồng Văn,Huyện Thanh Chương,Tỉnh Nghệ An,0976256695,E0022996645258,E0022996645258,Đơn bán,Tablet,15/12/2023,,,,TP00000444,NPK PM 16-16-8+13S+TE - bao 25 kg,1,40,10,400,127000000,,,0,,,Chưa duyệt,15/12/2023,,,
