date,url_list,Webste,Title,Sapo,Content
28/11/2023,https://daibieunhandan.vn/doanh-nghiep1/dau-khi-dau-tau-cua-nen-kinh-te-viet-nam-i351833/,daibieunhandan.vn,box-title-detail entry-title,box-des-detail this-one,detail-content-body
28/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-2811-lang-song-tai-khu-vuc-mien-trung-va-tay-nam-bo-20231127118499.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
28/11/2023,https://www.tinnhanhchungkhoan.vn/luc-cau-bat-day-tich-cuc-thi-truong-chung-khoan-dao-chieu-tang-trong-phien-chieu-2811-post334821.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
28/11/2023,https://vietnamnet.vn/chuyen-dich-nang-luong-hanh-trinh-tat-yeu-gan-voi-cong-nghe-luu-tru-2190964.html,vietnamnet.vn,content-detail-title,content-detail-sapo sm-sapo-mb-0,maincontent main-content
28/11/2023,https://petrovietnam.petrotimes.vn/can-thong-nhat-doan-ket-chia-se-hop-tac-de-hoan-thanh-giac-mo-lon-cua-nganh-dau-khi-700418.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
28/11/2023,https://www.qdnd.vn/kinh-te/tin-tuc/gia-xang-dau-hom-nay-28-11-giam-phien-thu-tu-lien-tiep-753274,www.qdnd.vn,post-title,post-summary,articleBody
27/11/2023,https://petrovietnam.petrotimes.vn/cong-doan-dau-khi-viet-nam-dong-hanh-cung-petrovietnam-thuc-hien-mong-uoc-cua-chu-tich-ho-chi-minh-700346.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
27/11/2023,https://www.qdnd.vn/kinh-te/cac-van-de/petrovietnam-ve-dich-som-nhieu-chi-tieu-san-luong-va-tai-chinh-753085,www.qdnd.vn,post-title,post-summary,articleBody
27/11/2023,https://petrovietnam.petrotimes.vn/dau-khi-dau-tau-cua-nen-kinh-te-viet-nam-700261.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
25/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-2511-phan-dap-hong-ha-dinh-vu-tiep-tuc-di-ngang-20231124104150975.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
25/11/2023,https://cand.com.vn/Kinh-te/phu-my-garden-buoc-di-dau-tien-tren-con-duong-dai-i714866/,cand.com.vn,box-title-detail entry-title,box-des-detail this-one,detail-content-body
